,요양기관명,종별코드명,시도코드명,시군구코드명,주소,좌표(X),좌표(Y),시군구,시군구 코드
93,광주희망병원,종합병원,광주,광주북구,광주광역시 북구 하서로 429  (용두동),126.8747341,35.2134937,광주광역시 북구,29170
94,구로성심병원,종합병원,서울,구로구,서울특별시 구로구 경인로 427 구로성심병원 (고척동),126.8664159,37.4996715,서울특별시 구로구,11530
95,구미강동병원,종합병원,경북,구미시,경상북도 구미시 인동20길 46  (진평동),128.4228695,36.096239,경상북도 구미시,47190
96,구포성심병원,종합병원,부산,부산북구,부산광역시 북구 낙동대로 1786 (구포동),129.0047235,35.2097133,부산광역시 북구,26320
97,국군수도병원,종합병원,경기,성남분당구,경기도 성남시 분당구 새마을로177번길 81 (율동),127.1490674,37.3923789,경기도 성남시 분당구,41135
98,국립암센터,종합병원,경기,고양일산동구,경기도 고양시 일산동구 일산로 323 (마두동),126.7834097,37.6632301,경기도 고양시 일산동구,41285
99,국립중앙의료원,종합병원,서울,중구,서울특별시 중구 을지로 245 (을지로6가),127.005671,37.5672138,서울특별시 중구,11140
100,국민건강보험공단일산병원,종합병원,경기,고양일산동구,"경기도 고양시 일산동구 일산로 100 (백석동,백석1동 1241외1필지 4층)",126.7930401,37.6454754,경기도 고양시 일산동구,41285
101,근로복지공단 대전병원,종합병원,대전,대전대덕구,대전광역시 대덕구 계족로 637 (법동),127.4285488,36.3683976,대전광역시 대덕구,30230
102,근로복지공단 순천병원,종합병원,전남,순천시,전라남도 순천시 조례1길 24  (조례동),127.5249267,34.9611351,전라남도 순천시,46150
103,근로복지공단 창원병원,종합병원,경남,창원성산구,경상남도 창원시 성산구 창원대로 721 (중앙동),128.6717512,35.2187539,경상남도 창원시 성산구,48123
104,근로복지공단 태백병원,종합병원,강원,태백시,강원도 태백시 보드미길 8 (장성동),129.0043366,37.1040964,강원도 태백시,42190
105,근로복지공단안산병원,종합병원,경기,안산상록구,경기도 안산시 상록구 구룡로 87 근로복지공단안산병원 (일동),126.874139,37.3167269,경기도 안산시 상록구,41271
106,근로복지공단인천병원,종합병원,인천,인천부평구,인천광역시 부평구 무네미로 446 (구산동),126.7536333,37.4767018,인천광역시 부평구,28237
107,나사렛종합병원,종합병원,대구,대구달서구,대구광역시 달서구 월배로 97 나사렛병원 (진천동),128.5250947,35.8147003,대구광역시 달서구,27290
108,나주종합병원,종합병원,전남,나주시,전라남도 나주시 영산로 5419 나주종합병원,126.7213975,35.0363159,전라남도 나주시,46170
109,남양주 한양병원,종합병원,경기,남양주시,경기도 남양주시 오남읍 양지로 47-55 47,127.2043933,37.6823474,경기도 남양주시,41360
110,노원을지대학교병원,종합병원,서울,노원구,서울특별시 노원구 한글비석로 68 을지병원 (하계동),127.0699355,37.6364794,서울특별시 노원구,11350
111,녹색병원,종합병원,서울,중랑구,서울특별시 중랑구 사가정로49길 53 (면목동),127.0860738,37.5835731,서울특별시 중랑구,11260
112,뉴대성병원,종합병원,경기,부천시,"경기도 부천시 부천로 91, 부천대성병원본관/부흥로373번길 91 부천대성병원본관/부흥로373번길 18  (심곡동)",126.7841872,37.4925524,경기도 부천시,41190
113,당진종합병원,종합병원,충남,당진시,충청남도 당진시 반촌로 5-15  (시곡동),126.6844489,36.9044003,충청남도 당진시,44830
114,대구가톨릭대학교 칠곡가톨릭병원,종합병원,대구,대구북구,대구광역시 북구 칠곡중앙대로 440 (읍내동),128.5493894,35.9348614,대구광역시 북구,27230
115,대구굿모닝병원,종합병원,대구,대구남구,대구광역시 남구 성당로 224 (대명동),128.5740875,35.8530071,대구광역시 남구,27200
116,대구의료원,종합병원,대구,대구서구,대구광역시 서구 평리로 157 (중리동),128.540587,35.85964,대구광역시 서구,27170
117,대구파티마병원,종합병원,대구,대구동구,대구광역시 동구 아양로 99 (신암동),128.6244071,35.8842611,대구광역시 동구,27140
118,대동병원,종합병원,부산,부산동래구,부산광역시 동래구 충렬대로 187 (명륜동),129.0802033,35.2042538,부산광역시 동래구,26260
119,대림성모병원,종합병원,서울,영등포구,"서울특별시 영등포구 시흥대로 657 (대림동, 대림성모병원)",126.9072208,37.4906979,서울특별시 영등포구,11560
120,대아의료재단한도병원,종합병원,경기,안산단원구,경기도 안산시 단원구 선부광장로 103 (선부동),126.8076223,37.3340586,경기도 안산시 단원구,41273
121,대자인병원,종합병원,전북,전주덕진구,전라북도 전주시 덕진구 견훤로 390 (우아동3가),127.1534707,35.8459659,전라북도 전주시 덕진구,45113
122,대전보훈병원,종합병원,대전,대전대덕구,대전광역시 대덕구 대청로82번길 147 147,127.4396939,36.4473164,대전광역시 대덕구,30230
123,대전한국병원,종합병원,대전,대전동구,대전광역시 동구 동서대로 1672  (성남동),127.4358152,36.3482008,대전광역시 동구,30110
124,대진의료재단 분당제생병원,종합병원,경기,성남분당구,경기도 성남시 분당구 서현로180번길 20 (서현동),127.1217783,37.3882035,경기도 성남시 분당구,41135
125,대청병원,종합병원,대전,대전서구,대전광역시 서구 계백로 1322 (정림동),127.3705716,36.3082388,대전광역시 서구,30170
126,더블유병원,종합병원,대구,대구달서구,대구광역시 달서구 달구벌대로 1632 (감삼동),128.5449481,35.8526313,대구광역시 달서구,27290
127,동국대학교의과대학경주병원,종합병원,경북,경주시,경상북도 경주시 동대로 87  (석장동),129.1966582,35.8583076,경상북도 경주시,47130
128,동국대학교일산불교병원,종합병원,경기,고양일산동구,"경기도 고양시 일산동구 동국로 27 (식사동, 동국대학교일산병원)",126.8064233,37.6763969,경기도 고양시 일산동구,41285
129,동남권원자력의학원,종합병원,부산,부산기장군,부산광역시 기장군 장안읍 좌동길 40 (),129.2435492,35.3214002,부산광역시 기장군,26710
130,동래봉생병원,종합병원,부산,부산동래구,부산광역시 동래구 안연로109번길 27 (안락동),129.0961356,35.1969224,부산광역시 동래구,26260
131,동아병원,종합병원,광주,광주남구,광주광역시 남구 대남대로 238  (백운동),126.8999505,35.1348132,광주광역시 남구,29155
132,드림종합병원,종합병원,대구,대구남구,대구광역시 남구 대명로 153 (대명동),128.5744911,35.8395584,대구광역시 남구,27200
133,메디인병원,종합병원,경기,파주시,경기도 파주시 금릉역로 190 (금촌동),126.766669,37.7610733,경기도 파주시,41480
134,명주병원,종합병원,경기,용인처인구,경기도 용인시 처인구 금령로39번길 8-6 (김량장동),127.2010803,37.2353957,경기도 용인시 처인구,41461
135,명지성모병원,종합병원,서울,영등포구,서울특별시 영등포구 도림로 156 명지성모병원 (대림동),126.8992626,37.4938623,서울특별시 영등포구,11560
136,목포기독병원,종합병원,전남,목포시,전라남도 목포시 백년대로 303  (상동),126.4206,34.8045333,전라남도 목포시,46110
137,목포시의료원,종합병원,전남,목포시,전라남도 목포시 이로로 18  (용해동),126.4053627,34.8039839,전라남도 목포시,46110
138,목포한국병원,종합병원,전남,목포시,전라남도 목포시 영산로 483  (상동),126.4164223,34.8092997,전라남도 목포시,46110
139,미래로21병원,종합병원,광주,광주서구,광주광역시 서구 화운로 1  (화정동),126.8852856,35.141033,광주광역시 서구,29140
140,미즈메디병원,종합병원,서울,강서구,서울특별시 강서구 강서로 295 (내발산동),126.8359357,37.5522178,서울특별시 강서구,11500
141,베데스다복음병원,종합병원,경남,양산시,경상남도 양산시 신기로 28 (신기동),129.0435924,35.3532447,경상남도 양산시,48330
142,부민병원,종합병원,서울,강서구,서울특별시 강서구 공항대로 389 부민병원 (등촌동),126.8509273,37.556866,서울특별시 강서구,11500
143,부산광역시의료원,종합병원,부산,부산연제구,"부산광역시 연제구 월드컵대로 359 (거제동, 1동, 5동일부)",129.0592351,35.1872822,부산광역시 연제구,26470
144,부산성모병원(재단법인 천주교부산교구유지재단),종합병원,부산,부산남구,부산광역시 남구 용호로232번길 25-14 (용호동),129.109125,35.1104571,부산광역시 남구,26290
145,부안성모병원,종합병원,전북,부안군,전라북도 부안군 부안읍 오정2길 24 (),126.7345709,35.7248401,전라북도 부안군,45800
146,부천세종병원,종합병원,경기,부천시,"경기도 부천시 호현로489번길 28 (소사본동, 세종병원)",126.7913172,37.4809662,경기도 부천시,41190
147,부천우리병원,종합병원,경기,부천시,경기도 부천시 소사구 726 지하4층~지상5층 (원종동),126.8052027,37.5208668,경기도 부천시 소사구,41197
148,부평세림병원,종합병원,인천,인천부평구,인천광역시 부평구 부평대로 175 (청천동),126.7199858,37.506872,인천광역시 부평구,28237
149,비에스종합병원,종합병원,인천,인천강화군,인천광역시 강화군 강화읍 충렬사로 31-0,126.4859916,37.7360483,인천광역시 강화군,28710
150,비에이치에스한서병원,종합병원,부산,부산수영구,부산광역시 수영구 수영로 615 (광안동),129.1131037,35.16088,부산광역시 수영구,26500
151,빛가람종합병원,종합병원,전남,나주시,전라남도 나주시 정보화길 49-0 (빛가람동),126.7987298,35.0241928,전라남도 나주시,46170
152,빛고을전남대학교병원,종합병원,광주,광주남구,광주광역시 남구 덕남길 80  (노대동),126.8963045,35.0943936,광주광역시 남구,29155
153,삼육부산병원,종합병원,부산,부산서구,부산광역시 서구 대티로 170 (서대신동2가),129.0110653,35.1127676,부산광역시 서구,26140
154,삼육서울병원,종합병원,서울,동대문구,서울특별시 동대문구 망우로 82 (휘경동),127.0653066,37.5879909,서울특별시 동대문구,11230
155,삼일병원,종합병원,대구,대구달서구,"대구광역시 달서구 월배로 436 지하1,지상1~11층 (송현동)",128.5535826,35.8324956,대구광역시 달서구,27290
156,상무병원,종합병원,광주,광주서구,광주광역시 서구 상무자유로 181-7  (치평동),126.8538803,35.1527509,광주광역시 서구,29140
157,상주적십자병원,종합병원,경북,상주시,경상북도 상주시 상서문로 53  (남성동),128.1555556,36.4146221,경상북도 상주시,47250
158,새통영병원,종합병원,경남,통영시,경상남도 통영시 무전7길 192 (무전동),128.4207171,34.8653483,경상남도 통영시,48220
159,서광병원,종합병원,광주,광주서구,광주광역시 서구 금화로59번길 6  (금호동),126.8557303,35.1325949,광주광역시 서구,29140
160,서남대학교병원,종합병원,광주,광주동구,광주광역시 동구 천변우로 415  (불로동),126.9150205,35.1447273,광주광역시 동구,29110
161,서산중앙병원,종합병원,충남,서산시,충청남도 서산시 수석산업로 5 (수석동),126.5034636,36.7810108,충청남도 서산시,44210
162,서울산보람병원,종합병원,울산,울산울주군,울산광역시 울주군 삼남읍 중평로 53 서울산보람병원,129.1208518,35.5602974,울산광역시 울주군,31710
163,서울성심병원,종합병원,서울,동대문구,서울특별시 동대문구 왕산로 259 서울성심병원 (청량리동),127.0497296,37.5843076,서울특별시 동대문구,11230
164,서울적십자병원,종합병원,서울,종로구,서울특별시 종로구 새문안로 9 적십자병원 (평동),126.9669974,37.5671805,서울특별시 종로구,11110
165,서울특별시 동부병원,종합병원,서울,동대문구,서울특별시 동대문구 무학로 124 (용두동),127.031341,37.5753681,서울특별시 동대문구,11230
166,서울특별시보라매병원,종합병원,서울,동작구,서울특별시 동작구 보라매로5길 20 (신대방동),126.9239058,37.4934414,서울특별시 동작구,11590
167,서울특별시서남병원,종합병원,서울,양천구,서울특별시 양천구 신정이펜1로 20 (신정동),126.8331531,37.5120195,서울특별시 양천구,11470
168,서울특별시서울의료원,종합병원,서울,중랑구,서울특별시 중랑구 신내로 156 (신내동),127.0978309,37.6132762,서울특별시 중랑구,11260
169,선한병원,종합병원,광주,광주서구,광주광역시 서구 무진대로 975-0  (광천동),126.8869987,35.1615633,광주광역시 서구,29140
170,성가롤로병원,종합병원,전남,순천시,전라남도 순천시 순광로 221  (조례동),127.5437074,34.9647334,전라남도 순천시,46150
171,성남시의료원,종합병원,경기,성남수정구,경기도 성남시 수정구 수정로171번길 10 성남시의료원 (태평동),127.1390577,37.4449846,경기도 성남시 수정구,41131
172,성남중앙병원,종합병원,경기,성남중원구,경기도 성남시 중원구 산성대로476번길 12 (금광동),127.1619932,37.4528497,경기도 성남시 중원구,41133
173,성심의료재단강동성심병원,종합병원,서울,강동구,서울특별시 강동구 성안로 150 (길동),127.135378,37.5359971,서울특별시 강동구,11740
174,성애의료재단 성애병원,종합병원,서울,영등포구,"서울특별시 영등포구 여의대방로53길 22 (신길동, 성애병원)",126.9225003,37.5120274,서울특별시 영등포구,11560
175,세란병원,종합병원,서울,종로구,서울특별시 종로구 통일로 256 (무악동),126.9574607,37.5751835,서울특별시 종로구,11110
176,세종충남대학교병원,종합병원,세종시,세종시,세종특별자치시 보듬7로 20 세종충남대학교병원 (도담동),127.2579427,36.5195133,세종특별자치시,36110
177,속초보광병원,종합병원,강원,속초시,강원도 속초시 중앙로 11-0 속초보광병원,128.5783901,38.1980014,강원도 속초시,42210
178,순천의료재단 성남정병원,종합병원,경기,성남수정구,경기도 성남시 수정구 수정로 76 지하3~10층 (수진동),127.1290046,37.4398589,경기도 성남시 수정구,41131
179,순천중앙병원,종합병원,전남,순천시,전라남도 순천시 장명로 5  (장천동),127.4844458,34.9514574,전라남도 순천시,46150
180,순천향대학교 부속 구미병원,종합병원,경북,구미시,경상북도 구미시 1공단로 179  (공단동),128.3827377,36.1029182,경상북도 구미시,47190
181,순천향대학교 부속 서울병원,종합병원,서울,용산구,서울특별시 용산구 대사관로 59 (한남동),127.0042579,37.533804,서울특별시 용산구,11170
182,신가병원,종합병원,광주,광주광산구,광주광역시 광산구 목련로 316  (신가동),126.8296527,35.1774148,광주광역시 광산구,29200
183,씨엠병원,종합병원,서울,영등포구,"서울특별시 영등포구 영등포로36길 13 (영등포동4가, 충무병원)",126.9041862,37.5188597,서울특별시 영등포구,11560
